i,j,detected,trace_value,trace_idx,amp_value,amp_idx,dps_value,eigmin_rho,eigmin_pt
1,1,false,33152.171967198345,8764,0,0,-1350.953005227025,1350.9530055882112,1350.9530055882112
1,2,false,21553.036977396368,8764,0,0,-729.07798472633783,729.07804331375075,729.07804331375075
1,3,false,24678.292775696333,8764,0,0,-928.08246025565472,928.08246026611596,928.08246026611596
1,4,false,29575.093424130897,8764,0,0,-1041.6922468284242,1041.6922518904007,1041.6922518904007
1,5,false,21653.981729431813,8764,0,0,-967.76637363197608,967.76637373955509,967.76637373955509
1,6,false,29580.320842413712,8764,0,0,-1228.1379003235184,1228.1379008528045,1228.1379008528045
1,7,false,27066.31828864761,8764,0,0,-1110.4391748741284,1110.4391761469428,1110.4391761469428
1,8,false,29496.70599409908,8764,0,0,-992.05810522472279,992.05816144148548,992.05816144148548
1,9,false,29339.476783314432,5294,0,0,-1086.1497253081664,1086.1498084355139,1086.1498084355139
1,10,false,32811.556709885532,8764,0,0,-1474.6994189546328,1474.6994315081447,1474.6994315081447
1,11,false,26066.284335706478,8764,0,0,-1017.7912535282264,1017.7912537038627,1017.7912537038627
1,12,false,24778.586602209758,8764,0,0,-1020.0711074009041,1020.071107421438,1020.071107421438
1,13,false,22821.949688709145,5294,0,0,-1031.8127766186419,1031.8127772898536,1031.8127772898536
1,14,false,23210.195209492889,5294,0,0,-1034.2450402838579,1034.2450422017125,1034.2450422017125
1,15,false,24758.730337520701,8764,0,0,-1028.7074085473762,1028.7074188618731,1028.7074188618731
1,16,false,22972.244629677334,8764,0,0,-974.29881273351714,974.29881358483067,974.29881358483067
1,17,false,26327.964492161122,8764,0,0,-1122.3182376429629,1122.3182458120129,1122.3182458120129
1,18,false,25879.296829022645,8764,0,0,-953.09254551281936,953.09254676258001,953.09254676258001
1,19,false,25625.439418552291,5294,0,0,-907.48151070259019,907.48151217643886,907.48151217643886
1,20,false,25894.44905603597,8764,0,0,-1019.1256653200691,1019.1256727347006,1019.1256727347006
1,21,false,28377.940563746135,8764,0,0,-956.34343426378803,956.34348922160052,956.34348922160052
1,22,false,24506.630383151922,8764,0,0,-1105.0422272305184,1105.0422496330871,1105.0422496330871
1,23,false,18900.783007845508,5294,0,0,-734.01876211820934,734.01876466727003,734.01876466727003
1,24,false,21314.645814794363,8764,0,0,-864.59830416735861,864.59835161076967,864.59835161076967
1,25,false,25480.86816439329,8764,0,0,-1063.6950871831041,1063.6950898712478,1063.6950898712478
1,26,false,23049.545278924732,5294,0,0,-875.89766253892799,875.89768020248812,875.89768020248812
1,27,false,27740.362357257949,8764,0,0,-1080.750978231644,1080.7509789837652,1080.7509789837652
1,28,false,24805.15028830196,8764,0,0,-768.6223515346112,768.62237341187188,768.62237341187188
1,29,false,28377.858948691843,8764,0,0,-1122.6773848851985,1122.6773876234925,1122.6773876234925
1,30,false,27345.965972909573,8764,0,0,-1242.416510222803,1242.4165143400526,1242.4165143400526
1,31,false,24787.664364384123,5294,0,0,-958.86819309672956,958.86819362854226,958.86819362854226
1,32,false,26609.138327412657,8764,0,0,-1323.0967535732177,1323.0967538087898,1323.0967538087898
1,33,false,29820.047352578425,5294,0,0,-1266.2224490476285,1266.2224671620991,1266.2224671620991
1,34,false,28914.600816350685,8764,0,0,-1040.3845420615332,1040.3845673104777,1040.3845673104777
1,35,false,28069.742992265496,5294,0,0,-1064.5554694106479,1064.55547008184,1064.55547008184
1,36,false,32419.632444359137,5294,0,0,-1260.8840516913151,1260.8840517188037,1260.8840517188037
1,37,false,24966.996808066622,5294,0,0,-1071.4327674783769,1071.4327790304449,1071.4327790304449
1,38,false,24653.654936391045,8764,0,0,-900.09110521351613,900.09110523781601,900.09110523781601
1,39,false,25776.650404437343,8764,0,0,-942.73577166666576,942.73577364120729,942.73577364120729
1,40,false,28797.566650627985,8764,0,0,-1094.7417360413976,1094.7417566160368,1094.7417566160368
1,41,false,33820.58020794663,8764,0,0,-1391.3942662271245,1391.3943332180206,1391.3943332180206
1,42,false,25936.832466492768,8764,0,0,-1014.765765510124,1014.7657685858131,1014.7657685858131
1,43,false,27814.674895360771,8764,0,0,-1182.6007234730534,1182.6007243548811,1182.6007243548811
1,44,false,24796.122249153377,8764,0,0,-1052.238878398063,1052.2388793105772,1052.2388793105772
1,45,false,21419.533625659216,8764,0,0,-914.30451403852101,914.30456695192356,914.30456695192356
1,46,false,20029.459891004397,8764,0,0,-774.41101633439507,774.41102451949132,774.41102451949132
1,47,false,24856.001105257448,9174,0,0,-869.48412848824432,869.48420288886405,869.48420288886405
1,48,false,19612.553426586943,5294,0,0,-776.15197038973054,776.15197120622656,776.15197120622656
1,49,false,26172.779834997695,5294,0,0,-927.98082177802326,927.98083062788498,927.98083062788498
1,50,false,26123.846028649892,5294,0,0,-886.38361672633005,886.3836169283552,886.3836169283552
1,51,false,20816.673601650458,8764,0,0,-794.53706917434886,794.53706918366629,794.53706918366629
1,52,false,29037.156209754943,8764,0,0,-1012.0388823785206,1012.03893063891,1012.03893063891
1,53,false,25783.572423181748,8764,0,0,-1113.9781578360466,1113.978233274019,1113.978233274019
1,54,false,30967.432991883674,8764,0,0,-1240.5840773436692,1240.5840760253457,1240.5840760253457
1,55,false,28977.40065585414,8764,0,0,-986.51790108030855,986.51790130062818,986.51790130062818
1,56,false,29441.82363958675,8764,0,0,-1344.2598799842499,1344.2598799943271,1344.2598799943271
1,57,false,28284.194412189328,9174,0,0,-909.29074314337072,909.29074380841917,909.29074380841917
1,58,false,19173.785607220772,5294,0,0,-685.25783557375576,685.25783941092436,685.25783941092436
1,59,false,24622.099148541478,5294,0,0,-853.6469137744773,853.64692150994529,853.64692150994529
1,60,false,22813.847700631541,5294,0,0,-831.80661348126591,831.80661452367576,831.80661452367576
1,61,false,26503.544599746801,5294,0,0,-1031.1346974052367,1031.1346986460126,1031.1346986460126
1,62,false,30437.459027854256,8764,0,0,-1014.1146421380989,1014.1146421404352,1014.1146421404352
1,63,false,27635.216239524747,8764,0,0,-1311.565574094381,1311.5655836617157,1311.5655836617157
1,64,false,22987.666358519036,8764,0,0,-819.71888811422684,819.71888812286318,819.71888812286318
1,65,false,41043.537744202476,8764,0,0,-1395.0672349616957,1395.0672671830853,1395.0672671830853
1,66,false,27914.165015105002,8764,0,0,-1180.1891935294002,1180.1891941329659,1180.1891941329659
1,67,false,30157.387344722174,5294,0,0,-1320.9925696185537,1320.9925950704969,1320.9925950704969
1,68,false,25604.174363131238,5294,0,0,-735.95111582810102,735.95112245938458,735.95112245938458
1,69,false,30364.009923669775,8764,0,0,-1239.8189719905904,1239.8189719657184,1239.8189719657184
1,70,false,29328.125662149519,8764,0,0,-1281.4057739051923,1281.4057915091714,1281.4057915091714
1,71,false,23906.267225025986,5294,0,0,-876.51541633269824,876.5154167898072,876.5154167898072
1,72,false,27668.078727673328,5294,0,0,-1203.2902068422172,1203.2902077850802,1203.2902077850802
1,73,false,27069.599685104004,8764,0,0,-815.18641703254821,815.18641743618491,815.18641743618491
1,74,false,23725.558632177745,5294,0,0,-758.7669192498538,758.76691932564972,758.76691932564972
1,75,false,19231.235666739143,8764,0,0,-729.65144865385923,729.65145675449298,729.65145675449298
1,76,false,26296.565349933928,5294,0,0,-972.2382646662362,972.23836365896807,972.23836365896807
1,77,false,28339.800037796322,5294,0,0,-1286.9637099530501,1286.9637102389031,1286.9637102389031
