i,j,detected,trace_value,trace_idx,amp_value,amp_idx,dps_value,eigmin_rho,eigmin_pt
1,1,false,24152.473607128832,8764,0,0,-864.59405847054074,873.29138513998623,864.59406791730771
1,2,false,37791.21880687755,8764,0,0,-1442.2333876410969,1442.811220011899,1442.2333953773209
1,3,false,33934.679898276278,8764,0,0,-1453.1048746888034,1474.8691836101311,1453.1048747832335
1,4,false,33671.248636785931,8764,0,0,-1448.0838469939533,1451.9619424401924,1448.0838510669057
1,5,false,30854.184721244714,8764,0,0,-1294.7385431773009,1307.1690320285609,1294.7385510056695
1,6,false,31188.722588885899,8764,0,0,-1185.2032270435716,1185.2032271823321,1186.182477935266
1,7,false,31243.563674845944,8764,0,0,-1445.100911747586,1445.1009098535119,1447.9134258935583
1,8,false,31576.546477255572,8764,0,0,-1370.6356780411541,1379.3059158508506,1370.6356782928931
1,9,false,32833.128375639149,8764,0,0,-1424.7681876051447,1429.8722433348589,1424.768188392517
1,10,false,28672.567822560373,8764,0,0,-1286.530866771624,1286.5308884567446,1287.136615640102
1,11,false,29922.760165689266,8764,0,0,-1317.6742946455543,1333.4131290802095,1317.6742951182337
1,12,false,29297.222575467924,8764,0,0,-1382.7167271990209,1386.5650520397987,1382.7167362501625
1,13,false,33787.946740664018,8764,0,0,-1586.2932029070307,1586.2932029256415,1592.5173208471645
1,14,false,32918.182779788825,8764,0,0,-1449.4119648848673,1449.4119702820192,1459.7459324899567
1,15,false,33943.247365231749,8764,0,0,-1248.2206897679998,1248.2206933320213,1250.8425117785318
1,16,false,33432.899426238371,8764,0,0,-1408.3826186102494,1408.8523642275823,1408.3826306413575
1,17,false,37655.624944613359,8764,0,0,-1536.1863552790214,1540.4063715062643,1536.1863554678866
1,18,false,34809.616473249771,8764,0,0,-1506.4676273754242,1506.4676273868802,1518.5189412518921
1,19,false,37027.147445179151,8764,0,0,-1534.5356147719531,1577.4360096456276,1534.5356345520643
1,20,false,27946.487794723227,8764,0,0,-1135.3271724442682,1135.3271724605954,1136.4560703802956
1,21,false,32150.929056605204,8764,0,0,-1430.599413492891,1430.5994135023197,1436.8706047858327
1,22,false,36435.062975254477,8764,0,0,-1497.8866995770504,1497.8867013780537,1504.6146550717494
1,23,false,27019.520008507134,8764,0,0,-1135.8806139881622,1149.2251913857644,1135.88061414357
1,24,false,28525.042680991046,9174,0,0,-1083.5104957380397,1092.1742070885543,1083.5104958157019
1,25,false,30493.839758022015,8764,0,0,-1291.9090065109172,1291.9090065207986,1304.7325398833525
1,26,false,36986.514975857928,8764,0,0,-1621.025228498459,1621.0252287597295,1638.8148123964836
1,27,false,28592.911630228788,8764,0,0,-1068.5538888837909,1076.5124175891115,1068.5539119258563
1,28,false,25451.613615647031,8764,0,0,-1055.6544457721684,1057.8455207584964,1055.6544617016955
1,29,false,36642.741829886778,8764,0,0,-1454.9730767631954,1464.0396940838568,1454.9730777819036
1,30,false,32046.973294292613,8764,0,0,-1299.6933708002211,1299.6933963753611,1308.1448520979104
1,31,false,30210.004393784086,8764,0,0,-1153.761600828316,1153.7616002216787,1157.4141676310492
1,32,false,35602.894069821356,8764,0,0,-1604.3440448460778,1604.3440505970248,1612.2722932896688
1,33,false,33621.711104369017,8764,0,0,-1548.9768317404614,1549.9428078170329,1548.9768332346043
1,34,false,35782.168186132549,8764,0,0,-1276.2561529036343,1293.3592753182616,1276.256153014886
1,35,false,29785.168533475324,8764,0,0,-1236.726823336754,1251.3352129181796,1236.7268304933091
1,36,false,50399.395039894975,8764,0,0,-2054.5334022192424,2069.1382120168114,2054.5334041408305
1,37,false,38023.078638584811,8764,0,0,-1630.2199544364541,1635.0330922985977,1630.2199888034743
1,38,false,40165.243799790565,8764,0,0,-1868.3259001284641,1896.2515402172678,1868.3259018707543
1,39,false,38737.721964333017,8764,0,0,-1782.0219096113283,1820.3131040803673,1782.0219104147436
1,40,false,34729.977746628501,8764,0,0,-1203.9511583836338,1203.9511591042087,1216.3281232488921
1,41,false,25727.300634438288,8764,0,0,-1040.8659682167815,1042.2417255578075,1040.8660181685623
1,42,false,25151.778264129291,8764,0,0,-1172.5351930662475,1172.5351949548415,1178.0159970487814
1,43,false,35330.855747661306,8764,0,0,-1547.9799296848573,1547.9799298169505,1551.2211783314663
1,44,false,31962.512756038519,8764,0,0,-1433.1150563791825,1433.115096249451,1438.8355023243014
1,45,false,29012.72904634368,8764,0,0,-1323.5148349084552,1330.8011826251952,1323.5148349322606
1,46,false,26051.144293487432,8764,0,0,-1114.1350551460869,1120.626738967859,1114.1350588549494
1,47,false,29126.058397450302,8764,0,0,-1122.3940208054471,1129.6588083921595,1122.3940209707259
1,48,false,35192.961449573071,8764,0,0,-1621.4059882380918,1643.9993429436033,1621.4060398470708
1,49,false,37298.808403463743,8764,0,0,-1516.2406717931112,1528.3712951295161,1516.2406719839773
1,50,false,31145.021175040143,8764,0,0,-1337.8045748484794,1343.1795328376741,1337.8045945185825
1,51,false,23873.129836899898,8764,0,0,-1002.2904888664614,1002.2904892452796,1003.6100451708983
1,52,false,25170.290507708753,9174,0,0,-883.27569122863315,909.61933513227586,883.27569150409988
1,53,false,27344.263375588343,8764,0,0,-1101.7285605089937,1101.728561627009,1118.8373267075492
1,54,false,31468.146612049826,8764,0,0,-1318.0716866435159,1332.180933377924,1318.0717186669783
1,55,false,43129.012336913205,8764,0,0,-1799.4752533789399,1800.6727201559206,1799.4752566632487
1,56,false,28467.513636369193,8764,0,0,-1115.8428307727702,1115.8428717497245,1115.9786616849779
1,57,false,32824.269350661423,8764,0,0,-1216.8348970778084,1217.6569346641929,1216.8349038927988
1,58,false,36176.733565337781,8764,0,0,-1512.1343410449024,1515.3221183215796,1512.1343422060881
1,59,false,30614.762778013839,8764,0,0,-1240.2541790891005,1265.6644416405654,1240.2541946238298
1,60,false,36149.620587619822,8764,0,0,-1596.4737652500596,1619.7434517559848,1596.4737705835246
1,61,false,33030.718218034846,8764,0,0,-1476.5349535931036,1486.3057179727045,1476.5349642967494
1,62,false,42173.056653295389,8764,0,0,-1978.5635442121284,1989.6222693995392,1978.5635469595693
1,63,false,38483.619721093812,8764,0,0,-1675.7837706826456,1687.0666787426321,1675.7837711627346
1,64,false,29313.637398485396,8764,0,0,-1236.4233844374398,1236.4233844736975,1244.0473598202632
1,65,false,30968.746148320115,8764,0,0,-994.42581644418817,998.84971753056436,994.42582352566023
1,66,false,24886.168479394059,8764,0,0,-1011.0084909741223,1011.0084918687878,1013.0043477904521
1,67,false,32642.180154332404,8764,0,0,-1454.1749400771707,1454.7612147723162,1454.1750502638984
1,68,false,36977.395160929555,8764,0,0,-1605.3023764504455,1625.6393848901121,1605.302376758345
1,69,false,33051.269497575799,8764,0,0,-1329.4346711838587,1329.4346712458562,1333.5104984025156
1,70,false,33407.534025101289,8764,0,0,-1266.3743714281686,1267.543298823959,1266.3743724561407
1,71,false,27593.246527810908,8764,0,0,-1024.5659418109205,1028.0144114735674,1024.5659423036002
1,72,false,29864.67581835181,8764,0,0,-1185.0968518333855,1189.2866900999486,1185.0968518484246
1,73,false,27393.251307382601,8764,0,0,-1194.748422389875,1198.5299572803731,1194.7484234100993
1,74,false,26426.571386960306,8764,0,0,-1141.8262863082637,1144.123041769054,1141.8262886527762
1,75,false,23907.182393924337,8764,0,0,-1033.7319762207653,1043.7223143109911,1033.7319869852415
1,76,false,40360.530591528492,8764,0,0,-1822.9825849738068,1830.5609287310106,1822.9825993856923
1,77,false,32822.847066914124,9174,0,0,-1337.6055843607928,1337.6055886241966,1340.4617113107836
1,78,false,25031.372784944426,8764,0,0,-950.16140787718962,950.16140806193062,957.82613909583438
1,79,false,52154.553924983004,8764,0,0,-2342.8520697131144,2377.7171664310385,2342.852111630697
1,80,false,29151.142080629124,8764,0,0,-1110.3737126400888,1110.935353285221,1110.3737333953691
1,81,false,32661.861006048857,8764,0,0,-1345.1193925370912,1345.119443149822,1345.1363599436745
1,82,false,24699.845230883042,8764,0,0,-1113.2331775556743,1114.6474415544867,1113.2332141956497
1,83,false,36582.921020435904,8764,0,0,-1599.0076995346697,1599.0077021376301,1616.563840934833
1,84,false,45567.551850674688,8764,0,0,-2155.3852771609936,2155.3852772399637,2156.8225942183603
1,85,false,37316.110006297909,8764,0,0,-1506.1689516158601,1506.1689516829933,1520.4148669946201
1,86,false,33428.946895850844,8764,0,0,-1391.6572656686801,1391.6572649454843,1396.7699493332841
1,87,false,27840.376916385263,8764,0,0,-1138.450169981742,1138.4501913009333,1152.8601230454483
1,88,false,35692.533877758906,8764,0,0,-1606.781981302843,1606.7819837938325,1610.07657156457
1,89,false,33456.743311681821,8764,0,0,-1428.389888172851,1428.389908054078,1428.4103588868331
1,90,false,27503.784994679281,8764,0,0,-1219.0443093439665,1225.1932844477492,1219.044336389177
1,91,false,36840.933800325562,8764,0,0,-1687.6722336137477,1695.6202034449038,1687.672235731832
1,92,false,31733.911379248482,8764,0,0,-1485.7015889296806,1485.7016171910627,1487.5892971556461
1,93,false,28170.776160496942,8764,0,0,-1277.0715391570523,1277.0715391760307,1281.6221359434069
1,94,false,22785.342630623039,8764,0,0,-855.02006344935239,855.02011910004444,855.91608163740716
1,95,false,31734.872705589067,8764,0,0,-1498.2642265617797,1499.9173242635306,1498.2642306880061
1,96,false,29117.400643017394,8764,0,0,-1188.8705038236167,1203.4131630859558,1188.8705040965099
1,97,false,31502.492257537921,8764,0,0,-1394.0717460999526,1395.1229532271802,1394.0717472937672
1,98,false,38358.035150380827,8764,0,0,-1742.223025690874,1742.223061627923,1742.4309510592404
1,99,false,30316.874026012672,8764,0,0,-1325.8949062115755,1325.8949065720474,1344.6610674741869
1,100,false,40703.615677065471,8764,0,0,-1856.3143587611667,1868.8361123269246,1856.3143590682166
2,1,false,38170.118448226429,8764,0,0,-1434.6195147422807,1434.6195159865792,1441.8584278699982
2,2,false,58846.941853608419,8764,0,0,-2292.5061360641962,2293.5296710365001,2292.5061513962655
2,3,false,53589.676202336399,8764,0,0,-2325.4702782814738,2353.2622328101056,2325.4703353141067
2,4,false,48289.31088866933,8764,0,0,-2246.0278342570632,2246.0278409979524,2250.8022689468266
2,5,false,46378.980480039201,8764,0,0,-1981.0105894810176,2001.1969582085908,1981.0105927021978
2,6,false,47902.556057001188,8764,0,0,-1981.4573007601525,1981.8260229495481,1981.4573027641527
2,7,false,47127.955441763275,8764,0,0,-2217.2349081323764,2217.2349689674684,2233.8070209291627
2,8,false,50459.497199887745,8764,0,0,-2207.8440574479196,2207.8440581420805,2215.2513230522636
2,9,false,50011.701189465603,8764,0,0,-2212.6518686424993,2212.6518687443527,2217.0922431419231
2,10,false,45055.365823209751,8764,0,0,-1991.5114361954368,1992.4564486392042,1991.5115067041129
2,11,false,46181.549453351974,8764,0,0,-2088.814292316446,2107.6994938725616,2088.814292630484
2,12,false,46971.451987005486,8764,0,0,-2071.0356047400619,2089.0866728435772,2071.0356056529513
