i,j,detected,trace_value,trace_idx,amp_value,amp_idx,dps_value,eigmin_rho,eigmin_pt
1,1,false,0.13953918725992503,2677,0,0,-0.00014508207758340643,0.00014508173146215032,0.00014508173146215466
1,2,false,0.10712627716792873,9712,0,0,-7.9824268603069162e-05,7.9824229418352086e-05,7.9824229418334739e-05
1,3,false,0.10768967142308089,4488,0,0,-0.00022263723641038262,0.00022263710476700364,0.00022263710476701104
1,4,false,0.20033784660440751,8764,0,0,-9.885440615828734e-05,9.8850799597843602e-05,9.8850799597806035e-05
1,5,false,0.11434904134766077,5294,0,0,-0.0004614034524695096,0.00046140312389360109,0.00046140312389360109
1,6,false,0.14836659707284533,9008,0,0,-6.2699780064255124e-05,6.269873272035828e-05,6.2698732720366411e-05
1,7,false,0.098258532563240963,8764,0,0,-0.00014013029421339386,0.00014012350574480405,0.00014012350574481942
1,8,false,0.13496245882600655,4929,0,0,-0.00049892507226262752,0.00049892197398964061,0.00049892197398963823
1,9,false,0.084261356508723073,5581,0,0,-0.00025008230847350975,0.00025008221793495935,0.00025008221793496033
1,10,false,0.10712359557596085,162,0,0,-3.6162832729819484e-05,3.6160718516689254e-05,3.6160718516682885e-05
1,11,false,0.11557513904841774,2328,0,0,-3.8835237464617241e-05,3.8818846884123667e-05,3.8818846884121932e-05
1,12,false,0.1564007064192349,9174,0,0,-0.00062309317493739001,0.00062308767124076981,0.00062308767124078152
1,13,false,0.11347424162578133,1255,0,0,-7.5175100281070771e-05,7.5175065145413896e-05,7.5175065145401752e-05
1,14,false,0.11807576763010602,8764,0,0,-0.00043281633617564205,0.0004328162768023801,0.0004328162768023801
1,15,false,0.1085339754307155,2677,0,0,-0.00014525714646499295,0.00014525289527376307,0.00014525289527377055
1,16,false,0.17274075262001803,5294,0,0,-0.00064553885753181452,0.00064553883284809992,0.00064553883284810989
1,17,false,0.12630830044139219,9313,0,0,-0.0002414466543614318,0.0002414444605200372,0.00024144446052003693
1,18,false,0.19528668553324094,6818,0,0,-0.00017607996604752596,0.00017607983824184079,0.00017607983824185439
1,19,false,0.12786998012434558,5581,0,0,-0.00028795970409453795,0.00028795914498568618,0.00028795914498568027
1,20,false,0.10596774748648517,2042,0,0,-5.0295514062763222e-05,5.0292667099537569e-05,5.0292667099554076e-05
1,21,false,0.17274273191952294,430,0,0,-0.00023282174790071626,0.00023282172574426671,0.00023282172574426086
1,22,false,0.042658431461504318,3167,0,0,-1.0330539443326339e-05,1.0321059593757077e-05,1.0321059593757077e-05
1,23,false,0.11550693874453265,1696,0,0,-4.2896563271335191e-05,4.2896522733211213e-05,4.2896522733214642e-05
1,24,false,0.10504527455585615,8764,0,0,-9.3367250024189004e-05,9.3364938870080173e-05,9.3364938870076704e-05
1,25,false,0.1115533441439408,5948,0,0,-9.6898831526922845e-05,9.6898823251834561e-05,9.6898823251834561e-05
1,26,false,0.14051656449034899,457,0,0,-0.00015558648261412104,0.0001555863285704771,0.0001555863285704771
1,27,false,0.11856203713074039,5294,0,0,-0.00044995230365872354,0.00044995185958382727,0.00044995185958382174
1,28,false,0.11503170763905675,8764,0,0,-0.00061154274196533571,0.00061154272011232596,0.00061154272011232315
1,29,false,0.063053340358312782,4488,0,0,-4.5451996630038868e-05,4.5450915358510513e-05,4.5450915358518726e-05
1,30,false,0.16963268462703923,7535,0,0,-0.00082853954090645406,0.00082853779195301864,0.00082853779195302037
1,31,false,0.10821905360313429,8764,0,0,-0.00017177640791200545,0.00017177631528000572,0.00017177631527999878
1,32,false,0.1224751606173803,1222,0,0,-0.00032839585558442291,0.00032839565010155737,0.00032839565010155846
1,33,false,0.10427841986753382,4349,0,0,-9.220512591304601e-05,9.2200913547097919e-05,9.2200913547097919e-05
1,34,false,0.20412112390970844,1222,0,0,-0.00018232045177641809,0.0001823157894896676,0.0001823157894896676
1,35,false,0.14493967084060444,8912,0,0,-0.00043679295695898284,0.00043679289340404999,0.00043679289340406544
1,36,false,0.12542987710840822,1222,0,0,-0.00040193471613326863,0.00040192406447329894,0.00040192406447328328
1,37,false,0.12456753199317644,3525,0,0,-0.00049883472558712454,0.00049883461166376085,0.00049883461166374686
1,38,false,0.098081033804642156,9313,0,0,-0.0003821247115763912,0.00038212469014318399,0.00038212469014318399
1,39,false,0.10484849344329579,7929,0,0,-0.00012882094251715401,0.00012881412295951536,0.00012881412295950701
1,40,false,0.1684790757281823,8764,0,0,-0.00042362564392844785,0.00042362550791742552,0.00042362550791743647
1,41,false,0.14729060872665922,2328,0,0,-0.00040126602444791917,0.00040125184056407509,0.00040125184056408116
1,42,false,0.13542436408896721,8764,0,0,-0.00055525850855085571,0.00055525742652341704,0.0005552574265234179
1,43,false,0.082933739750976176,8764,0,0,-0.00025981678776641954,0.00025981677362619637,0.00025981677362619637
1,44,false,0.14579904612330324,5294,0,0,-0.00079753836171685643,0.00079753807492396924,0.00079753807492396989
1,45,false,0.10825697690859228,8764,0,0,-0.00030152648580062985,0.00030152528291068872,0.000301525282910695
1,46,false,0.10933499179735001,4488,0,0,-0.00062214865226537777,0.00062213715128114184,0.00062213715128113056
1,47,false,0.15245756874327276,8667,0,0,-0.00040024257411881421,0.00040023006274170832,0.00040023006274170832
1,48,false,0.086067073017639009,4488,0,0,-0.0003250659123627507,0.0003250562862475401,0.00032505628624753837
1,49,false,0.12057812901300385,4881,0,0,-0.00035778244695731969,0.00035777567312482558,0.00035777567312483035
1,50,false,0.11677520277639786,8764,0,0,-0.0003325165782631961,0.00033250881188928369,0.00033250881188928369
1,51,false,0.10945860373335856,1255,0,0,-6.074435670788869e-05,6.073221050913857e-05,6.0732210509159882e-05
1,52,false,0.1685554314914916,9008,0,0,-0.0003855002034419202,0.00038550019002882936,0.00038550019002883391
1,53,false,0.10049936152854358,9313,0,0,-0.00058139906087457927,0.00058139853923766906,0.00058139853923766581
1,54,false,0.14436816222533147,8764,0,0,-0.00036399056675820158,0.00036398940154267633,0.00036398940154268219
1,55,false,0.14129734525955057,3486,0,0,-0.00036872263010743464,0.00036872145192370882,0.00036872145192371218
1,56,false,0.07224611383134108,4929,0,0,-0.00042871495089238492,0.00042871421068307717,0.00042871421068307793
1,57,false,0.19530639283337101,9026,0,0,-5.9703260082385208e-05,5.970289352765755e-05,5.970289352765755e-05
1,58,false,0.11865806707286899,2677,0,0,-0.00040014655009285065,0.00040014645755188227,0.00040014645755188585
1,59,false,0.10716944348783275,3275,0,0,-7.9899569870887636e-05,7.9899450358452085e-05,7.9899450358458725e-05
1,60,false,0.15549927390739512,5294,0,0,-0.00042468874687665064,0.00042468853317456623,0.00042468853317456211
1,61,false,0.14498154232315985,5311,0,0,-0.00016486372065921482,0.0001648530961342276,0.00016485309613423378
1,62,false,0.1078446639991649,6739,0,0,-0.00012519696019129927,0.00012519633517509853,0.00012519633517509853
1,63,false,0.12386050351545523,4400,0,0,-8.085703225573823e-05,8.0852343567639783e-05,8.0852343567639783e-05
1,64,false,0.13576770162520829,5294,0,0,-0.00039305691529112916,0.00039305489069017656,0.00039305489069014999
1,65,false,0.082660188458522771,307,0,0,-1.9980683672274733e-05,1.9979264082723516e-05,1.9979264082723516e-05
1,66,false,0.068681624029897234,9039,0,0,-0.00034705941797936822,0.00034705861270375418,0.00034705861270375917
1,67,false,0.13562729535853621,8764,0,0,-0.00031345196755442684,0.00031345008455741646,0.00031345008455741874
1,68,false,0.045320882870781065,3683,0,0,-0.00010240978785744372,0.00010239626336591847,0.00010239626336591983
1,69,false,0.15510401190737916,4488,0,0,-0.00042975268640949791,0.00042974557121202027,0.00042974557121202027
1,70,false,0.18562623842291856,7535,0,0,-0.00083528505306505491,0.00083528078860710528,0.00083528078860710072
1,71,false,0.12355203590553576,5294,0,0,-0.00031099012282126594,0.00031098980421338687,0.00031098980421338785
1,72,false,0.12719427059242933,3066,0,0,-3.4300390870582842e-05,3.4300132479497174e-05,3.4300132479487348e-05
1,73,false,0.11496933264840145,6880,0,0,-8.9627931963752238e-05,8.9626654078397793e-05,8.9626654078412131e-05
1,74,false,0.14734323122697371,8764,0,0,-3.1653209845423492e-05,3.1653139646843016e-05,3.1653139646843016e-05
1,75,false,0.184853947510904,6273,0,0,-0.00023642446460177914,0.00023642434082088643,0.00023642434082088405
1,76,false,0.1746578267584257,4929,0,0,-0.0003263691158436943,0.00032636439104017148,0.0003263643910401923
1,77,false,0.13036455034662273,4488,0,0,-0.00010519224769021852,0.00010518920063314042,0.00010518920063313627
1,78,false,0.091540161688239974,7195,0,0,-0.00016950813639797315,0.00016949619595850354,0.00016949619595850701
1,79,false,0.093115723681904086,5294,0,0,-0.00017767673931907329,0.00017767657187509495,0.00017767657187509669
1,80,false,0.11545221406474949,2677,0,0,-0.00016079366878848692,0.00016079144826684758,0.00016079144826684267
1,81,false,0.17260046971070503,6122,0,0,-9.9942425014115617e-05,9.9940377165258723e-05,9.9940377165244845e-05
1,82,false,0.1308736276189128,8764,0,0,-0.0010487887518483099,0.0010487886879692568,0.0010487886879692481
1,83,false,0.16631897939355778,1222,0,0,-0.00027810027770391513,0.00027809955193867334,0.00027809955193867361
1,84,false,0.098499271790129614,114,0,0,-0.00034140792667161304,0.00034140719821017294,0.00034140719821016947
1,85,false,0.15691002618588806,4488,0,0,-0.00095850061929413143,0.00095849915710730636,0.00095849915710730115
1,86,false,0.11705404443271232,3486,0,0,-0.0001886741844352284,0.00018867417780143997,0.00018867417780145325
1,87,false,0.093792239532904775,5294,0,0,-0.00036719423995603551,0.00036719423267936264,0.00036719423267936069
1,88,false,0.15943712717678929,8912,0,0,-0.0001277070937534502,0.000127695878545335,0.000127695878545335
1,89,false,0.13376822737043365,1222,0,0,-0.00010249542535933375,0.00010249392255323045,0.00010249392255323468
